Tweet,Sensation
b'RT @polishprincessh: If you ask the right people you can get the results you want!\nI took a poll and determined that we would be better off\xe2\x80\xa6',0.42857142857142855
"b""RT @King_Quico: Fuck Trump and the lack of resources at border patrol. But also fuck the ignoramuses who risk their children's lives. Both\xe2\x80\xa6""",-0.4
b'RT @JuddLegum: Trump is tapping into a real grievance \xe2\x80\x94 the majority of Americans rightly believe the system is stacked against them.\n\nBut\xe2\x80\xa6',0.24285714285714285
"b""RT @davidfrum: Anyway, don't let controversy over Trump signing souvenirs for a small number of carefully prescreened troops distract you f\xe2\x80\xa6""",-0.175
b'RT @RealJack: President Trump went from talking to children on Christmas Eve and then flew across the world to a combat zone that night.\xe2\x80\xa6',0.0
b'RT @JudicialWatch: JW President @TomFitton: It looks like Special Counsel Mueller\xe2\x80\x99s operation deleted text messages of corrupt anti-Trump F\xe2\x80\xa6',-0.07142857142857142
b'RT @chipfranklin: If you are aligned with Trump and think Mueller might offer you a deal? That ship has sailed. Bring your weepy wife and s\xe2\x80\xa6',0.0
"b'Trump, lier in chief. https://t.co/9NCZ1N4QqL'",0.0
b'RT @krassenstein: Trump just threatened to shut down the Southern border.  Doing so would destroy our economy:\n\nUS Exports to Mexico:\n\nMach\xe2\x80\xa6',-0.11851851851851855
b'El Porqu\xc3\xa9 de las Noticias con @DannyPerezDiaz\n#Siria entra en #Manbij. Migrantes en puerto seguro. Muro de #Trump\xe2\x80\xa6 https://t.co/ruBcnmsehh',0.0
"b'RT @TravisAllen02: Cost of Mueller Investigation: $3,200,000\nBenghazi Investigation: $7,000,000\nTrump\xe2\x80\x99s Golf Trips: $83,000,000\nDebt from G\xe2\x80\xa6'",0.0
b'@ABC Abc really hates president Trump but loves Obama I remember when all media reported on all crimes of Obama hil\xe2\x80\xa6 https://t.co/EYOVIAjN7r',0.2
b'RT @DetroitLove88: Trump\xe2\x80\x99s @realDonaldTrump shutdown stunt is an act of needless stupidity\n#ImWithNancy\n#TeamPelosi\n#MadamSpeaker\n\n#TrumpRe\xe2\x80\xa6',-0.55
b'RT @SavingAmerica4U: \xf0\x9f\x94\xb4MUST WATCH - CHECK THIS OUT\n\nA Trump supporter was denied service and assaulted at a vape shop in Georgia. He recorde\xe2\x80\xa6',0.0
